name,country_abrv,confederation
Palestine,PLE,AFC
Turks and Caicos Islands,TCA,CONCACAF
US Virgin Islands,VIR,CONCACAF
Montserrat,MSR,CONCACAF
Congo DR,COD,CAF
Bhutan,BHU,AFC
Serbia and Montenegro,SCG,UEFA
Afghanistan,AFG,AFC
New Caledonia,NCL,OFC
Serbia,SRB,UEFA
Timor-Leste,TLS,AFC
Comoros,COM,CAF
Netherlands Antilles,ANT,CONCACAF
Montenegro,MNE,UEFA
Curacao,CUW,CONCACAF
South Sudan,SSD,CAF
Kosovo,KVX,UEFA
Gibraltar,GIB,UEFA
